Year,Month,Week_Number_In_Month,Date,Running_Work_Days,Product,ValueFOB,Volume,WorkingDaysDelta,ValueFOB_Daily,Volume_Daily
2022,10,3,10/21/22,14,Crop_Chemicals,146666.807,14210.142,5,29333.3614,2842.0284
2022,10,5,10/31/22,19,Wheat,22592.913,55490.487,5,4518.5826,11098.0974
2022,10,5,10/31/22,19,Fertilizers,592627.467,1057658.228,5,118525.4934,211531.6456
2022,10,5,10/31/22,19,Crop_Chemicals,255633.955,19781.609,5,51126.791,3956.3218
2022,11,2,11/11/22,8,Wheat,54887.486,133342.254,8,6860.93575,16667.78175
2022,11,2,11/11/22,8,Fertilizers,535629.195,1004462.85,8,66953.64938,125557.8563
2022,11,2,11/11/22,8,Crop_Chemicals,262708.988,22393.784,8,32838.6235,2799.223
2022,11,3,11/18/22,12,Wheat,20440.455,58373.951,4,5110.11375,14593.48775
2022,11,3,11/18/22,12,Fertilizers,272265.935,540799.867,4,68066.48375,135199.9667
2022,11,3,11/18/22,12,Crop_Chemicals,81819.698,7424.554,4,20454.9245,1856.1385
2022,11,5,11/30/22,20,Wheat,45491.422,124493.19,8,5686.42775,15561.64875
2022,11,5,11/30/22,20,Fertilizers,449163.568,841435.04,8,56145.446,105179.38
2022,11,5,11/30/22,20,Crop_Chemicals,141777.982,10775.325,8,17722.24775,1346.915625
2022,12,2,12/9/22,7,Wheat,26611.067,77028.178,7,3801.581,11004.02543
2022,12,2,12/9/22,7,Fertilizers,315914.62,629472.596,7,45130.66,89924.65657
2022,12,2,12/9/22,7,Crop_Chemicals,163019.699,11786.912,7,23288.52843,1683.844571
2022,12,3,12/16/22,12,Wheat,48278.429,141082.639,5,9655.6858,28216.5278
2022,12,3,12/16/22,12,Fertilizers,309805.31,670424.273,5,61961.062,134084.8546
2022,12,3,12/16/22,12,Crop_Chemicals,103369.674,7435.411,5,20673.9348,1487.0822
2022,12,4,12/23/22,17,Wheat,40263.963,118004.379,5,8052.7926,23600.8758
2022,12,4,12/23/22,17,Fertilizers,334049.67,711624.728,5,66809.934,142324.9456
2022,12,4,12/23/22,17,Crop_Chemicals,62485.927,4435.582,5,12497.1854,887.1164
2022,12,5,12/30/22,22,Wheat,55167.172,162456.401,5,11033.4344,32491.2802
2022,12,5,12/30/22,22,Fertilizers,245125.867,585220.808,5,49025.1734,117044.1616
2022,12,5,12/30/22,22,Crop_Chemicals,60165.765,5365.821,5,12033.153,1073.1642
2023,1,1,1/6/23,5,Wheat,46699.2,133191.01,5,9339.84,26638.202
2023,1,1,1/6/23,5,Fertilizers,141062.714,319230.391,5,28212.5428,63846.0782
